Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Oct,2013,FY13-14,10/01/2013 12:00:00 AM,Main St Link,31439
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,104,21171
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,108,3601
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,112,32017
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,120,9412
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,128,8033
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,136,12365
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,156,2147
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,184,10633
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,30,49543
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,40,32515
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,45,39683
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,531,1031
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,533,4690
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,535,2716
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,541,1184
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,61,66228
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,77,4438
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,96,46183
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,AZ Ave Link,22007
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,Buzz,7243
Nov,2013,FY13-14,11/01/2013 12:00:00 AM,Main St Link,24472
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,104,19672
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,108,3808
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,112,33945
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,120,9431
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,128,10436
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,136,11972
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,156,2110
